model,quality,bpp,PSNR,FID,LPIPS,DISTS
dc_vic_oasis,0,0.041692011586975906,28.18164547274133,6.081927558408324,0.09733988167979171,0.07769969648846956
dc_vic_oasis,1,0.06554814601905658,29.389264762555914,4.097909221037867,0.07419409746060444,0.06073840700577353
dc_vic_oasis,2,0.09216008627576848,30.073885956075273,2.707519384710565,0.062489989322444824,0.04980306633722002
dc_vic_oasis,3,0.11583094403510798,30.81626546894623,2.4114009138531287,0.05392282252922376,0.044979932430748625
dc_vic_oasis,4,0.1372019129959249,31.461273554617186,2.229641703538732,0.04784416110977252,0.04228080642000537
dc_vic_patchgan,0,0.041692011586975906,28.12253310108461,6.0127133029051265,0.0995104296663863,0.07963944832298243
dc_vic_patchgan,1,0.06554814601905658,29.31635471551348,4.060033308880634,0.07582114941536267,0.06210260009654214
dc_vic_patchgan,2,0.09216008627576848,29.99591309298561,2.992088555965097,0.06394256534333402,0.051569480483777054
dc_vic_patchgan,3,0.11583094403510798,30.711434342792323,2.7195414331682173,0.05533664615685555,0.046358162693888226
dc_vic_patchgan,4,0.1372019129959249,31.32746913509754,2.4781621128075813,0.04925771592681026,0.04329091073753678
